time,low,high,open,close,volume
2021-10-29 00:01:00,60552.64,60751.32,60577.62,60722.65,43.81877504
2021-10-29 00:02:00,60615.48,60804.16,60721.59,60701.95,25.94147975
2021-10-29 00:03:00,60451.02,60722.95,60712.02,60476.71,18.32185186
2021-10-29 00:04:00,60413.96,60577.65,60466.92,60570.27,14.42261602
2021-10-29 00:05:00,60568.81,60774.94,60575.57,60731.1,14.22979804
2021-10-29 00:06:00,60683.69,60746.48,60731.11,60712.78,8.47246212
2021-10-29 00:07:00,60653.64,60726.49,60712.75,60684.28,16.73068546
2021-10-29 00:08:00,60620.8,60728.81,60684.28,60634.35,13.05292823
2021-10-29 00:09:00,60578.1,60671.47,60634.35,60610.3,8.71930789
2021-10-29 00:10:00,60563.75,60621.61,60613.49,60563.75,8.0665199
2021-10-29 00:11:00,60516.75,60568.85,60563.75,60547.29,5.75854598
2021-10-29 00:12:00,60491.93,60563.69,60556.18,60509.63,11.74161973
2021-10-29 00:13:00,60450.0,60514.55,60510.35,60450.01,5.52939718
2021-10-29 00:14:00,60395.36,60475.0,60450.01,60460.6,21.43033028
2021-10-29 00:15:00,60360.43,60465.6,60450.64,60406.62,12.0939938
2021-10-29 00:16:00,60188.73,60412.45,60407.82,60360.63,25.21567379
2021-10-29 00:17:00,60318.7,60612.37,60363.3,60560.62,15.92374821
2021-10-29 00:18:00,60447.08,60600.0,60553.4,60484.76,7.27668644
2021-10-29 00:19:00,60410.18,60562.2,60484.76,60444.51,9.86370995
2021-10-29 00:20:00,60428.18,60485.62,60451.52,60440.0,7.31122662
2021-10-29 00:21:00,60288.67,60447.6,60420.48,60307.03,11.20446992
2021-10-29 00:22:00,60302.71,60431.21,60302.71,60392.91,8.71645962
2021-10-29 00:23:00,60363.49,60429.07,60391.94,60412.51,9.12293613
2021-10-29 00:24:00,60350.44,60434.84,60411.54,60403.13,3.65867901
2021-10-29 00:25:00,60320.0,60446.8,60403.14,60356.93,8.20068107
2021-10-29 00:26:00,60319.25,60365.75,60346.21,60345.52,4.31379963
2021-10-29 00:27:00,60332.96,60428.28,60345.52,60414.73,9.59932298
2021-10-29 00:28:00,60385.14,60428.13,60417.66,60418.2,4.29272925
